Dream On | Aerosmith
Texas Flood | Stevie Ray Vaughan
I Wanna Be Your Dog | The Stooges
Stray Cat Strut | Stray Cats
Santeria | Sublime
What I've Got | Sublime
Marquee Moon | Television
The Boys Are Back In Town | Thin Lizzy
Emerald | Thin Lizzy
Little Girl In Bloom | Thin Lizzy
Whiskey In The Jar | Thin Lizzy
American Girl | Tom Petty &amp; The Heartbreakers
Rock And Roll | The Velvet Underground
Sister Ray | The Velvet Underground
Sweet Jane | The Velvet Underground
Walk-Don't-Run | The Ventures
Seven Nation Army | The White Stripes
A Quick One While He's Away | The Who
Happy Jack | The Who
I Can See For Miles | The Who
My Generation | The Who
Starship Trooper: A. Life Seeker | Yes
Black Star | Yngwie Malmsteen
La Grange | ZZ Top
Sharp Dressed Man | ZZ Top
