Can't You See What You're Doing To Me? | Albert King
Long Cool Woman (In a Black Dress) | The Hollies
Look Through Any Window | The Hollies
Doctor My Eyes | Jackson Browne
The Pretender | Jackson Browne
Cold Sweat | James Brown
Get Up Offa That Thing | James Brown
I Got The Feelin' | James Brown
My Thang | James Brown
Night Train | James Brown
The Payback | James Brown
Jailhouse Rock | Jeff Beck
Scatterbrain | Jeff Beck
People Get Ready | Rod Stewart
All Along The Watchtower | Jimi Hendrix
Fire | Jimi Hendrix
Hear My Train A Comin' | Jimi Hendrix
Better Days Are Coming | Jimmy Cliff
Come Into My Life | Jimmy Cliff
The Harder They Come | Jimmy Cliff
Blueberry Hill | Little Richard
Hound Dog | Little Richard
Lucille | Little Richard
Short Fat Fanny | Little Richard
Tutti-Frutti | Little Richard
California Dreamin' | The Mamas &amp; The Papas
Dedicated To The One I Love | The Mamas &amp; The Papas
Dream A Little Dream Of Me | The Mamas &amp; The Papas
Monday, Monday | The Mamas &amp; The Papas
Cowgirl In The Sand | Neil Young
Down By The River | Neil Young
(Sittin' On) The Dock Of The Bay | Otis Redding
Hard To Handle | Otis Redding
Shake | Otis Redding
Redondo Beach | Patti Smith
Bring It On Home To Me | Percy Sledge
(If Loving You Is Wrong) I Don't Want To Be Right | Percy Sledge
(Sittin' On) The Dock Of The Bay | Percy Sledge
2000 Miles | Pretenders
Brass In Pocket | Pretenders
Don't Get Me Wrong | Pretenders
Brighton Rock | Queen
Sail Away | Randy Newman
Short People | Randy Newman
We Belong Together | Randy Newman
You've Got A Friend In Me | Randy Newman
I Got A Woman | Ray Charles
Anthem | Rush
Closer To The Heart | Rush
Distant Early Warning | Rush
The Spirit of Radio | Rush
I Don't Know | Ruth Brown
Lucky Lips | Ruth Brown
This Little Girl's Gone Rockin' | Ruth Brown
Itchycoo Park | The Small Faces
Cry To Me | Solomon Burke
Got To Get Off My Mind | Solomon Burke
If You Need Me | Solomon Burke
Tonight's The Night | Solomon Burke
And She Was | Talking Heads
Psycho Killer | Talking Heads
Road To Nowhere | Talking Heads
Take Me To The River | Talking Heads
American Girl | Tom Petty &amp; The Heartbreakers
Breakdown | Tom Petty &amp; The Heartbreakers
Don't Do Me Like That | Tom Petty &amp; The Heartbreakers
Mary Jane's Last Dance | Tom Petty &amp; The Heartbreakers
Blue Valentines | Tom Waits
Johnsburg, Illinois | Tom Waits
The Part You Throw Away | Tom Waits
Straight to the Top | Tom Waits
Dance The Night Away | Van Halen
Panama | Van Halen
Beside You | Van Morrison
Brown Eyed Girl | Van Morrison
All Tomorrow's Parties | The Velvet Underground
I'm Waiting For The Man | The Velvet Underground
For Your Love | The Yardbirds
Heart Full Of Soul | The Yardbirds
I Wish You Would | The Yardbirds
Putty (In Your Hands) | The Yardbirds
Take Me to the River | The Yardbirds
Do You Feel It | The Young Rascals
Good Lovin' | The Young Rascals
Just A Little | The Young Rascals
