Wasteland | 10 Years
Spaceman | The Killers
When You Were Young | The Killers
Use Somebody | Kings Of Leon
Hanging By A Moment | Lifehouse
Rollin' | Limp Bizkit
Crawling | Linkin Park
In The End | Linkin Park
Numb | Linkin Park
What I've Done | Linkin Park
Harder To Breathe | Maroon 5
This Love | Maroon 5
Unwell | Matchbox Twenty
Electric Feel | MGMT
Kids | MGMT
Time To Pretend | MGMT
Float On | Modest Mouse
Silver Future | Monster Magnet
Hysteria | Muse
Plug In Baby | Muse
Resistance | Muse
Starlight | Muse
Supermassive Black Hole | Muse
Time Is Running Out | Muse
Uprising | Muse
Dead! | My Chemical Romance
Helena | My Chemical Romance
The Sharpest Lives | My Chemical Romance
Teenagers | My Chemical Romance
Welcome To The Black Parade | My Chemical Romance
My Heart Will Go On | New Found Glory
Figured You Out | Nickelback
How You Remind Me | Nickelback
Every Day Is Exactly The Same | Nine Inch Nails
The Hand That Feeds | Nine Inch Nails
Only | Nine Inch Nails
Hit That | The Offspring
Want You Bad | The Offspring
You're Gonna Go Far, Kid | The Offspring
A Good Idea At The Time | OK Go
Here It Goes Again | OK Go
Boom | P.O.D.
Youth Of The Nation | P.O.D.
I Write Sins Not Tragedies | Panic! At The Disco
Nine In The Afternoon | Panic! At The Disco
Last Resort | Papa Roach
The Fixer | Pearl Jam
Weak And Powerless | A Perfect Circle
1901 | Phoenix
Battle For The Sun | Placebo
Hey There Delilah | Plain White T's
Blurry | Puddle Of Mudd
She Hates Me | Puddle Of Mudd
No One Knows | Queens Of The Stone Age
Bodysnatchers | Radiohead
Fall Back Down | Rancid
Always | Saliva
Addicted | Saving Abel
Broken | Seether
Fake It | Seether
Rise Above This | Seether
Save Me | Shinedown
Second Chance | Shinedown
Panic Switch | Silversun Pickups
Psychosocial | Slipknot
I'm A Believer | Smash Mouth
Chasing Cars | Snow Patrol
The Agony Of Laffitte | Spoon
It's Been Awhile | Staind
So Far Away | Staind
Have A Nice Day | Stereophonics
Through Glass | Stone Sour
Last Night | The Strokes
Fat Lip | Sum 41
In Too Deep | Sum 41
Meant To Live | Switchfoot
Aerials | System Of A Down
Chop Suey! | System Of A Down
Toxicity | System Of A Down
You're So Last Sunday | Taking Back Sunday
Sweet Disposition | The Temper Trap
New Fang | Them Crooked Vultures
Blinded (When I See You) | Third Eye Blind
Animal I Have Become | Three Days Grace
I Hate Everything About You | Three Days Grace
Never Too Late | Three Days Grace
Pain | Three Days Grace
Drops Of Jupiter | Train
Headstrong | Trapt
Beautiful Day | U2
Elevation | U2
Vertigo | U2
Seein' Red | Unwritten Law
A Box Full Of Sharp Objects | The Used
Blue And Yellow | The Used
Buried Myself Alive | The Used
Fall To Pieces | Velvet Revolver
Get Free | The Vines
Ride | The Vines
C'mon C'mon | The Von Bondies
Beverly Hills | Weezer
Island In The Sun | Weezer
Pork And Beans | Weezer
Woman | Wolfmother
Ocean Avenue | Yellowcard
